CustomerID,Gender,Age,Annual_Income_k$,Spending_Score_1_100,Visit_Frequency_per_Month,Customer_Segment
1,Female,48,89,40,15,Regular
2,Female,19,137,28,19,Regular
3,Female,32,60,69,13,Regular
4,Male,22,125,89,20,Premium
5,Female,40,53,22,18,Regular
6,Male,51,82,28,14,Regular
7,Male,68,32,58,14,Regular
8,Male,53,106,41,14,Regular
9,Male,49,102,19,14,Regular
10,Male,20,105,71,4,Premium
11,Male,23,144,4,2,Occasional
12,Female,58,19,60,14,Regular
13,Male,46,109,28,20,Regular
14,Female,31,109,57,9,Occasional
15,Female,50,46,92,7,High Value
16,Male,18,147,20,14,Regular
17,Male,22,133,99,9,Premium
18,Female,66,85,26,11,Regular
19,Female,18,20,45,9,Budget
20,Female,39,41,49,9,Occasional
21,Male,33,41,2,16,Regular
22,Female,37,57,59,19,Regular
23,Female,69,92,7,13,Regular
24,Female,30,141,4,9,Occasional
25,Female,69,61,48,4,Occasional
26,Female,53,96,22,6,Occasional
27,Female,63,26,65,20,Regular
28,Male,70,106,3,7,Occasional
29,Male,41,36,24,2,Budget
30,Female,55,92,34,5,Occasional
31,Male,28,134,91,9,Premium
32,Male,52,132,98,8,Premium
33,Male,19,38,26,2,Budget
34,Male,27,142,35,17,Regular
35,Male,33,42,7,5,Occasional
36,Male,42,57,19,9,Occasional
37,Male,63,145,86,8,Premium
38,Female,63,119,78,13,Premium
39,Male,46,141,58,11,Regular
40,Male,20,68,5,2,Occasional
41,Male,46,58,51,8,Occasional
42,Male,45,19,44,11,Regular
43,Female,26,39,83,10,High Value
44,Female,38,42,45,9,Occasional
45,Female,26,73,95,1,High Value
46,Female,23,24,56,20,Regular
47,Male,64,79,73,16,High Value
48,Female,52,82,76,14,High Value
49,Male,43,41,81,18,High Value
50,Male,54,19,15,17,Regular
51,Male,53,74,17,3,Occasional
52,Male,55,26,81,18,High Value
53,Female,38,55,75,8,High Value
54,Male,54,111,50,20,Regular
55,Female,63,28,70,15,Regular
56,Female,37,98,29,18,Regular
57,Female,35,66,18,10,Regular
58,Female,43,83,60,9,Occasional
59,Female,45,57,77,19,High Value
60,Female,25,115,37,16,Regular
61,Female,44,66,68,11,Regular
62,Female,35,33,54,2,Budget
63,Male,37,114,86,8,Premium
64,Female,26,143,69,1,Occasional
65,Male,65,47,2,18,Regular
66,Male,30,146,43,18,Regular
67,Male,33,67,6,11,Regular
68,Female,57,39,89,7,High Value
69,Female,50,104,82,12,Premium
