CustomerID,Gender,Age,Annual_Income_k$,Spending_Score_1_100,Visit_Frequency_per_Month,Customer_Segment,New_Cluster_ID
1,Female,48,89,40,15,Regular,4
2,Female,19,137,28,19,Regular,0
3,Female,32,60,69,13,Regular,1
4,Male,22,125,89,20,Premium,3
5,Female,40,53,22,18,Regular,2
6,Male,51,82,28,14,Regular,4
7,Male,68,32,58,14,Regular,1
8,Male,53,106,41,14,Regular,0
9,Male,49,102,19,14,Regular,4
10,Male,20,105,71,4,Premium,3
11,Male,23,144,4,2,Occasional,0
12,Female,58,19,60,14,Regular,1
13,Male,46,109,28,20,Regular,0
14,Female,31,109,57,9,Occasional,3
15,Female,50,46,92,7,High Value,1
16,Male,18,147,20,14,Regular,0
17,Male,22,133,99,9,Premium,3
18,Female,66,85,26,11,Regular,4
19,Female,18,20,45,9,Budget,2
20,Female,39,41,49,9,Occasional,1
21,Male,33,41,2,16,Regular,2
22,Female,37,57,59,19,Regular,1
23,Female,69,92,7,13,Regular,4
24,Female,30,141,4,9,Occasional,0
25,Female,69,61,48,4,Occasional,1
26,Female,53,96,22,6,Occasional,4
27,Female,63,26,65,20,Regular,1
28,Male,70,106,3,7,Occasional,4
29,Male,41,36,24,2,Budget,2
30,Female,55,92,34,5,Occasional,4
31,Male,28,134,91,9,Premium,3
32,Male,52,132,98,8,Premium,3
33,Male,19,38,26,2,Budget,2
34,Male,27,142,35,17,Regular,0
35,Male,33,42,7,5,Occasional,2
36,Male,42,57,19,9,Occasional,2
37,Male,63,145,86,8,Premium,3
38,Female,63,119,78,13,Premium,3
39,Male,46,141,58,11,Regular,0
40,Male,20,68,5,2,Occasional,4
41,Male,46,58,51,8,Occasional,1
42,Male,45,19,44,11,Regular,2
43,Female,26,39,83,10,High Value,1
44,Female,38,42,45,9,Occasional,2
45,Female,26,73,95,1,High Value,1
46,Female,23,24,56,20,Regular,1
47,Male,64,79,73,16,High Value,1
48,Female,52,82,76,14,High Value,3
49,Male,43,41,81,18,High Value,1
50,Male,54,19,15,17,Regular,2
51,Male,53,74,17,3,Occasional,4
52,Male,55,26,81,18,High Value,1
53,Female,38,55,75,8,High Value,1
54,Male,54,111,50,20,Regular,0
55,Female,63,28,70,15,Regular,1
56,Female,37,98,29,18,Regular,4
57,Female,35,66,18,10,Regular,4
58,Female,43,83,60,9,Occasional,1
59,Female,45,57,77,19,High Value,1
60,Female,25,115,37,16,Regular,0
61,Female,44,66,68,11,Regular,1
62,Female,35,33,54,2,Budget,1
63,Male,37,114,86,8,Premium,3
64,Female,26,143,69,1,Occasional,3
65,Male,65,47,2,18,Regular,2
66,Male,30,146,43,18,Regular,0
67,Male,33,67,6,11,Regular,4
68,Female,57,39,89,7,High Value,1
69,Female,50,104,82,12,Premium,3
70,Male,67,82,7,2,Occasional,4
71,Male,46,47,10,8,Occasional,2
72,Male,48,133,22,6,Occasional,0
73,Female,58,103,81,16,Premium,3
74,Female,61,15,12,3,Budget,2
75,Female,42,96,69,11,Regular,3
76,Female,25,134,43,12,Regular,0
77,Male,66,142,98,16,Premium,3
78,Female,19,83,58,7,Occasional,1
79,Female,60,144,32,7,Occasional,0
80,Male,49,102,2,19,Regular,4
81,Female,53,32,90,11,High Value,1
82,Male,60,101,6,2,Occasional,4
83,Male,23,136,73,6,Premium,3
84,Female,38,139,95,6,Premium,3
85,Female,19,94,86,4,High Value,3
86,Male,34,118,95,14,Premium,3
87,Female,65,54,24,10,Regular,2
88,Male,37,116,2,10,Regular,4
89,Male,33,127,41,3,Occasional,0
90,Female,38,118,38,20,Regular,0
91,Male,50,132,58,10,Regular,0
92,Male,55,65,81,20,High Value,1
93,Male,70,144,64,16,Regular,3
94,Female,26,60,51,14,Regular,1
95,Male,21,115,2,18,Regular,4
96,Male,41,23,92,18,High Value,1
97,Male,52,41,89,1,High Value,1
98,Male,40,64,34,10,Regular,4
99,Female,32,90,96,10,High Value,3
100,Female,37,18,6,8,Budget,2
101,Male,42,144,58,6,Occasional,0
102,Female,42,129,89,8,Premium,3
103,Male,67,136,70,19,Regular,3
104,Male,65,64,35,9,Occasional,4
105,Female,29,96,5,17,Regular,4
106,Male,51,126,23,12,Regular,0
107,Male,56,149,35,8,Occasional,0
108,Female,18,71,99,4,High Value,1
109,Male,22,78,68,16,Regular,1
110,Male,20,86,23,13,Regular,4
111,Female,30,19,78,7,High Value,1
112,Female,60,73,67,17,Regular,1
113,Female,40,53,24,14,Regular,2
114,Female,19,123,28,5,Occasional,0
115,Female,66,133,94,1,Premium,3
116,Male,58,125,25,1,Occasional,0
117,Male,53,95,18,19,Regular,4
118,Female,54,92,77,10,High Value,3
119,Female,44,56,6,13,Regular,2
120,Female,66,81,12,9,Occasional,4
121,Female,19,16,20,11,Regular,2
122,Female,34,138,65,15,Regular,3
123,Female,64,71,68,4,Occasional,1
124,Female,23,149,5,15,Regular,0
125,Female,37,124,47,5,Occasional,0
126,Male,70,23,60,14,Regular,1
127,Male,22,78,56,18,Regular,1
128,Female,30,145,2,7,Occasional,0
129,Male,46,92,48,11,Regular,4
130,Male,48,15,24,1,Budget,2
